Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Social Gathering- Boulder: February 2021,Resolved,3/25/2021,Social Gathering,,,Boulder,3/18/2021,,,17,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Social Gathering- Breckenridge ,Resolved,4/20/2021,Social Gathering,,,Summit,3/31/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Social Gathering- Summit County,Resolved,11/18/2020,Social Gathering,,,Summit,11/2/2020,,,8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Social Gathering- Telluride,Resolved,7/27/2020,Social Gathering,,,San Miguel,6/22/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenaline Gymnastics Academy,Resolved,4/7/2021,Youth Sports/Activities,,,Arapahoe,3/12/2021,,2,4,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Medicine Specialists,Resolved,2/22/2021,Healthcare - Outpatient,Primary Care Office,,Pueblo,12/21/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Auto Parts #6563,Resolved,7/22/2020,Retailer,,,El Paso,6/16/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Auto Parts #7442,Resolved,5/18/2021,Retailer,,,Pueblo,4/23/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Dermatology,Resolved,11/23/2020,Healthcare - Outpatient,Dermatologist Office,,Summit,10/26/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Aurora (02D982): April 2020,Resolved,6/3/2020,Healthcare - Skilled Nursing,,Yes,Arapahoe,4/28/2020,9,8,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Aurora (02D982): December 2020,Resolved,1/14/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,1/4/2021,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Aurora (02D982): May 2021,Resolved,6/10/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,5/18/2021,12,3,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Colorado Springs (02Q655): February 2021,Resolved,3/9/2021,Healthcare - Skilled Nursing,,Yes,El Paso,2/16/2021,11,4,,1,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Colorado Springs (02Q655): November 2020,Resolved,12/28/2020,Healthcare - Skilled Nursing,,Yes,El Paso,11/30/2020,17,12,,6,,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care of Colorado Springs (02Q655): September 2020,Resolved,11/11/2020,Healthcare - Skilled Nursing,,Yes,El Paso,9/28/2020,4,20,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Interiors,Resolved,4/15/2021,Retailer,,,Larimer,3/16/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Pediatric Associates (Admin Building) ,Resolved,12/2/2020,Office/Indoor Workspace,,,Adams,11/9/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advantage Manufacturing of Colorado Springs, LLC",Resolved,5/2/2021,Non-Food Manufacturer/Warehouse,,,El Paso,4/12/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Treatment Center - Alamosa: January 2021,Resolved,3/1/2021,"Correctional, Other",,Yes,Alamosa,2/5/2021,6,1,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Treatment Center - Alamosa: June 2020,Resolved,7/22/2020,"Correctional, Other",Community Corrections,Yes,Alamosa,6/17/2020,17,14,,,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Treatment Center- Lamar,Resolved,1/14/2021,"Correctional, Other",,Yes,Prowers,12/3/2020,20,7,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Treatment Center- Sterling: December 2020,Resolved,2/1/2021,"Correctional, Other",,Yes,Logan,12/17/2020,7,2,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
