Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Center at Rock Creek LLC (02S685): April 2020,2020-06-02,Healthcare - Nursing Facility,,Larimer,2020-04-30,14,9,,1,,,23,1,,,,,,,
Van Cise-Simonet Detention Center: April 2020,2021-07-08,Jail,,Denver,2020-04-30,1021,117,,,1,,1138,1,,,,,,,
Alpha Insulation and Waterproofing,2020-06-22,Construction Company/Contractor,Roof maintenance services,Denver,2020-05-01,,15,,,,,15,0,,,,,,,
Denver Rescue Mission - National Western Complex,2020-07-21,Homeless Shelter,,Denver,2020-05-01,,33,,,,,33,0,,,,,,,
Peakview Assisted Living and Memory Care (23F490): May 2020,2020-06-09,Healthcare - Assisted Living,,Arapahoe,2020-05-01,3,1,,,,,4,0,,,,,,,
Brookdale Pinehurst Park (2304CA): May 2020,2020-06-09,Healthcare - Assisted Living,,Denver,2020-05-02,25,12,,5,,,37,5,,,,,,,
Crowley County Correctional Facility: May 2020,2020-07-20,State Prison,,Colorado,2020-05-02,66,4,,,,,70,0,,,,,,,
Aviva at Fitzsimons (02S294): May 2020,2020-06-30,Healthcare - Nursing Facility,,Adams,2020-05-04,4,7,,,,,11,0,,,,,,,
Hallmark Nursing Center (020453): May 2020,2020-07-01,Healthcare - Nursing Facility,,Denver,2020-05-04,15,14,,3,,,29,3,,,,,,,
Monaco Parkway Health and Rehabilitation Center (020497): May 2020,2020-07-17,Healthcare - Nursing Facility,,Denver,2020-05-04,10,15,,,,,25,0,,,,,,,
Assured Assisted Living 9 (23V725): May 2020,2020-05-19,Healthcare - Assisted Living,,Arapahoe,2020-05-05,3,4,,,,,7,0,,,,,,,
Avamere Transitional Care and Rehab-Malley (020432): May 2020,2020-07-15,Healthcare - Nursing Facility,,Adams,2020-05-05,20,23,,2,,,43,2,,,,,,,
