Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Madison House (231211): November 2021,2021-12-08,Healthcare - Assisted Living,,Montezuma,2021-11-16,3,1,,,,,4,0,,,,,,,
Mesa County Valley School District 51,2021-12-06,School Administration,,Mesa,2021-11-16,,5,,,,,5,0,,,,,,,
Odyssey School of Denver: November 2021,2022-02-20,School K-12,,Denver,2021-11-16,,3,43,,,,46,0,,,,,,,
Pueblo Regional Center - House F (0506UI): November 2021,2021-11-26,Healthcare - Intermediate Care,,Colorado,2021-11-16,,2,,,,,2,0,,,,,,,
Rim Rock Elementary School,2022-03-04,School K-12,,Mesa,2021-11-16,,3,18,,,,21,0,,,,,,,
Rocky Mountain Assisted Living- Saulsbury (23MA7Q): November 2021,2021-12-07,Healthcare - Assisted Living,,Jefferson,2021-11-16,3,2,,,,,5,0,,,,,,,
Thunder Mountain Elementary School: October 2021,2022-01-16,School K-12,,Mesa,2021-11-16,,4,18,,,,22,0,,,,,,,
Aerospace COS-2 Construction Site,2021-12-15,Construction Site,Construction Site,El Paso,2021-11-17,,6,,,,,6,0,,,,,,,
Ben Franklin Academy: October 2021,2021-12-08,School K-12,,Douglas,2021-11-17,,,15,,,,15,0,,,,,,,
Chipeta Elementary School: November 2021,2021-12-14,School K-12,,El Paso,2021-11-17,,,20,,,,20,0,,,,,,,
Clayton Members Club & Hotel,2022-02-08,Hotel/Lodge/Resort,,Denver,2021-11-17,,19,,,,,19,0,,,,,,,
Doral Academy,2022-02-11,School K-12,,Jefferson,2021-11-17,,4,16,,,,20,0,,,,,,,
Dottie's Daycare,2022-02-09,Child Care Center,,Adams,2021-11-17,,2,4,,,,6,0,,,,,,,
Fox Ridge Middle School: November 2021,2021-12-07,School K-12,,Arapahoe,2021-11-17,,,6,,,,6,0,,,,,,,
Goodnight Elementary School,2022-03-02,School K-12,,Pueblo,2021-11-17,,11,36,,,,47,0,,,,,,,
Governor's Ranch Elementary School: November 2021,2022-04-05,School K-12,,Jefferson,2021-11-17,,16,37,,,,53,0,,,,,,,
Heaton Middle School,2022-03-21,School K-12,,Pueblo,2021-11-17,,1,7,,,,8,0,,,,,,,
Heritage Park Care Center (020845): November 2021,2021-12-01,Healthcare - Nursing Facility,,Garfield,2021-11-17,3,,,,,,3,0,,,,,,,
Kendrick Lakes Elementary School,2022-03-04,School K-12,,Jefferson,2021-11-17,,8,40,,,,48,0,,,,,,,
KinderCare Learning Center - Mountain Shadows: November 2021,2021-12-13,Child Care Center,,El Paso,2021-11-17,,5,8,,,,13,0,,,,,,,
Life Care Center of Aurora (0204F6): November 2021,2021-12-10,Healthcare - Nursing Facility,,Arapahoe,2021-11-17,12,4,,,,,16,0,,,,,,,
Lincoln School of Science and Technology: November 2021,2021-12-28,School K-12,,Fremont,2021-11-17,,1,9,,,,10,0,,,,,,,
Merritt Trailers: October 2021,2021-11-04,Non-Food Manufacturer/Warehouse,,Adams,2021-11-17,,8,,,,,8,0,,,,,,,
Mountain View Core Knowledge School,2022-01-07,School K-12,,Fremont,2021-11-17,,2,7,,,,9,0,,,,,,,
North Arvada Middle School,2022-03-11,School K-12,,Jefferson,2021-11-17,,4,20,,,,24,0,,,,,,,
Oberon Middle School: October 2021,2022-06-19,School K-12,,Jefferson,2021-11-17,,10,109,,,,119,0,,,,,,,
Our Lady of Loreto Catholic School: November 2021,2021-12-20,School K-12,,Arapahoe,2021-11-17,,1,7,,,,8,0,,,,,,,
Parker Core Knowledge Preschool,2021-12-12,Child Care Center,,Douglas,2021-11-17,,,7,,,,7,0,,,,,,,
Rocky Mountain Christian Academy,2021-12-09,School K-12,,Boulder,2021-11-17,,1,7,,,,8,0,,,,,,,
Slavens K-8 School: November 2021,2021-12-31,School K-12,,Denver,2021-11-17,,1,14,,,,15,0,,,,,,,
Solstice Senior Living of Mesa View,2021-12-11,Healthcare - Independent Living Facility,,Mesa,2021-11-17,6,,,,,,6,0,,,,,,,
Southeast Colorado Hospital Long Term Care Facility (020223): November 2021,2021-12-21,Healthcare - Nursing Facility,,Baca,2021-11-17,2,4,,,,,6,0,,,,,,,
The Goddard School of Erie: November 2021,2021-12-06,Child Care Center,,Weld,2021-11-17,,1,4,,,,5,0,,,,,,,
The McClelland School,2021-12-21,School K-12,,Pueblo,2021-11-17,,2,6,,,,8,0,,,,,,,
Avalon School of Cosmetology: November 2021,2021-12-06,Trade School,,Arapahoe,2021-11-18,,3,4,,,,7,0,,,,,,,
Beulah Heights Elementary School,2022-03-08,School K-12,,Pueblo,2021-11-18,,8,14,,,,22,0,,,,,,,
Capco,2021-12-30,Office/Indoor Workspace,,Mesa,2021-11-18,,16,,,,,16,0,,,,,,,
Cappella of Grand Junction (23U246): November 2021,2021-12-20,Healthcare - Assisted Living,,Mesa,2021-11-18,11,6,,1,,,17,1,,,,,,,
Colorado Technical University,2021-12-02,College/University,,El Paso,2021-11-18,,5,,,,,5,0,,,,,,,
Cripple Creek EMS,2021-12-10,Municipal/Local Government,Fire Department,Teller,2021-11-18,,6,,,,,6,0,,,,,,,
Elms Haven Center (020474): November 2021,2022-03-15,Healthcare - Nursing Facility,,Adams,2021-11-18,52,69,,,,,121,0,,,,,,,
Evans Elementary School: November 2021,2021-12-30,School K-12,,El Paso,2021-11-18,,7,23,,,,30,0,,,,,,,
Fremont Elementary School,2022-02-26,School K-12,,Fremont,2021-11-18,,2,11,,,,13,0,,,,,,,
Graland Country Day School: November 2021,2022-07-09,School K-12,,Denver,2021-11-18,,59,154,,,,213,0,,,,,,,
Heritage Elementary School,2022-03-08,School K-12,,Pueblo,2021-11-18,,11,24,,,,35,0,,,,,,,
John H. Amesse Elementary School: November 2021,2021-12-07,School K-12,,Denver,2021-11-18,,4,3,,,,7,0,,,,,,,
Lansing Elementary School,2022-01-11,School K-12,,Arapahoe,2021-11-18,,,13,,,,13,0,,,,,,,
Lyons Elementary School,2022-03-19,School K-12,,Boulder,2021-11-18,,,62,,,,62,0,,,,,,,
McAuliffe International School: November 2021,2022-07-06,School K-12,,Denver,2021-11-18,,26,253,,,,279,0,,,,,,,
McKinley Elementary School,2021-12-14,School K-12,,Fremont,2021-11-18,,,9,,,,9,0,,,,,,,
Merrill Middle School,2022-02-26,School K-12,,Denver,2021-11-18,,7,16,,,,23,0,,,,,,,
Northwest Colorado Health ,2021-12-14,Healthcare - Outpatient,Home Health and Hospice Agency,Moffat,2021-11-18,,5,,,,,5,0,,,,,,,
Rye Elementary School ,2022-03-02,School K-12,,Pueblo,2021-11-18,,17,45,,,,62,0,,,,,,,
Seagate Technology,2022-02-15,Non-Food Manufacturer/Warehouse,Electronics manufacturing,Boulder,2021-11-18,,27,,,,,27,0,,,,,,,
Sierra Rehabilitation and Care Community (020423): November 2021,2021-12-23,Healthcare - Nursing Facility,,Jefferson,2021-11-18,2,3,,,,,5,0,,,,,,,
Skinner Middle School: November 2021,2022-06-29,School K-12,,Denver,2021-11-18,,16,114,,,,130,0,,,,,,,
The Commons of Hilltop (23T695): November 2021,2022-04-05,Healthcare - Assisted Living,,Mesa,2021-11-18,15,51,,,,,66,0,,,,,,,
Vineland Elementary School,2022-03-29,School K-12,,Pueblo,2021-11-18,,12,57,,,,69,0,,,,,,,
Wheat Ridge Regional Center - House A (060408): November 2021,2021-12-02,Healthcare - Intermediate Care,,Colorado,2021-11-18,,2,,,,,2,0,,,,,,,
Alchemy of Movement,2022-03-17,Indoor Entertainment/Rec,,Boulder,2021-11-19,,2,9,,,,11,0,,,,,,,
Brookdale - Tamarac Square: November 2021,2021-12-12,Healthcare - Independent Living Facility,,Denver,2021-11-19,4,6,,,,,10,0,,,,,,,
Bruce McCandless Veterans Community Living Center (020636): November 2021,2022-03-09,Healthcare - Nursing Facility,,Colorado,2021-11-19,13,26,,1,,,39,1,,,,,,,
Crossroads Shelter,2022-02-16,Homeless Shelter,,Denver,2021-11-19,28,3,,,,,31,0,,,,,,,
First Steps at Monarch Montessori of Denver,2022-02-10,Child Care Center,,Denver,2021-11-19,,20,36,,,,56,0,,,,,,,
Greeley Central High School: September 2021,2022-03-25,School K-12,,Weld,2021-11-19,,29,217,,,,246,0,,,,,,,
HighPointe Assisted Living & Memory Care (23M205): September 2021,2021-10-26,Healthcare - Assisted Living,,Denver,2021-11-19,2,2,,,,,4,0,,,,,,,
Hope Montessori Academy- Centennial,2022-02-18,School K-12,,El Paso,2021-11-19,,5,13,,,,18,0,,,,,,,
Horizons Care Center (021111): November 2021,2021-12-10,Healthcare - Nursing Facility,,Delta,2021-11-19,,3,,,,,3,0,,,,,,,
Libby Bortz Assisted Living Center (2304GF): November 2021,2021-12-01,Healthcare - Assisted Living,,Arapahoe,2021-11-19,,4,,,,,4,0,,,,,,,
Littleton Care and Rehabilitation Center (020462): November 2021,2022-01-03,Healthcare - Nursing Facility,,Arapahoe,2021-11-19,10,5,,1,,,15,1,,,,,,,
MacKenzie Place - Fort Collins (23Z789): November 2021,2021-12-10,Healthcare - Assisted Living,,Larimer,2021-11-19,,3,,,,,3,0,,,,,,,
Nazarene Thrift Store,2021-12-14,Retailer,,Rio Grande,2021-11-19,,6,,,,,6,0,,,,,,,
Nora Personal Care Assisted Living LLC (23R196): November 2021,2021-11-23,Healthcare - Assisted Living,,Arapahoe,2021-11-19,4,,,,,,4,0,,,,,,,
Odyssey Elementary School: November 2021,2021-12-24,School K-12,,El Paso,2021-11-19,,,7,,,,7,0,,,,,,,
Orchard Park Health Care Center (020468): November 2021,2022-03-10,Healthcare - Nursing Facility,,Arapahoe,2021-11-19,18,25,,3,,,43,3,,,,,,,
Sangre de Cristo School,2021-12-18,School K-12,,Alamosa,2021-11-19,,7,13,,,,20,0,,,,,,,
Sawaya Law Firm,2021-12-10,Office/Indoor Workspace,,Denver,2021-11-19,,16,,,,,16,0,,,,,,,
Summit Rehabilitation and Care Community (020407): November 2021,2021-12-03,Healthcare - Nursing Facility,,Arapahoe,2021-11-19,5,4,,,,,9,0,,,,,,,
Thrive at Plum Hill,2021-12-22,Child Care Center,,Denver,2021-11-19,,2,10,,,,12,0,,,,,,,
Wear Parts and Equipment Co. Inc. ,2021-12-15,Construction Company/Contractor,,Arapahoe,2021-11-19,,11,,,,,11,0,,,,,,,
ThriveCare (23W354): November 2021,2021-12-20,Healthcare - Assisted Living,,Jefferson,2021-11-20,1,1,,,,,2,0,,,,,,,
Emory Elementary School: November 2021,2022-03-09,School K-12,,Jefferson,2021-11-21,,6,34,,,,40,0,,,,,,,
The Rehabilitation Center at Sandalwood (020465): November 2021 ,2021-12-03,Healthcare - Nursing Facility,,Jefferson,2021-11-21,,2,,,,,2,0,,,,,,,
Vista Grande Inn (021213): November 2021,2021-12-29,Healthcare - Nursing Facility,,Montezuma,2021-11-21,1,6,,,,,7,0,,,,,,,
Balfour Cherrywood Village (2303Z4): November 2021,2021-11-29,Healthcare - Assisted Living,,Boulder,2021-11-22,1,2,,1,,,3,1,,,,,,,
Crème de la Crème of Thornton,2021-12-21,Child Care Center,,Adams,2021-11-22,,4,5,,,,9,0,,,,,,,
Dillon Valley Elementary School: November 2021,2022-01-03,School K-12,,Summit,2021-11-22,,2,26,,,,28,0,,,,,,,
Fort Lewis College- Women's Soccer Team,2021-12-08,College/University,,La Plata,2021-11-22,,,9,,,,9,0,,,,,,,
Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): November 2021,2021-11-30,Healthcare - Assisted Living,,Weld,2021-11-22,,2,,,,,2,0,,,,,,,
Jefferson Crisis and Recovery Center,2021-12-03,Healthcare - Outpatient,,Jefferson,2021-11-22,,4,4,,,,8,0,,,,,,,
KPMG,2021-12-13,Office/Indoor Workspace,,Denver,2021-11-22,,5,,,,,5,0,,,,,,,
Little Sunshine's Playhouse and Preschool of Littleton,2021-12-16,Child Care Center,,Arapahoe,2021-11-22,,2,7,,,,9,0,,,,,,,
Lochbuie Elementary School,2022-03-12,School K-12,,Weld,2021-11-22,,7,31,,,,38,0,,,,,,,
McGraw Elementary School,2021-12-18,School K-12,,Larimer,2021-11-22,,1,19,,,,20,0,,,,,,,
Mountaintop Childcare Inc,2021-12-07,Child Care Center,,Larimer,2021-11-22,,,5,,,,5,0,,,,,,,
O'Reilly Auto Parts # 3027,2021-12-17,Retailer,car parts retail,Denver,2021-11-22,,5,,,,,5,0,,,,,,,
Pagosa Springs High School: November 2021,2022-03-14,School K-12,,Archuleta,2021-11-22,,4,14,,,,18,0,,,,,,,
Pagosa Springs Middle School,2022-02-24,School K-12,,Archuleta,2021-11-22,,3,22,,,,25,0,,,,,,,
Ready Foods Inc,2022-01-03,Food Manufacturing/Packaging,,Denver,2021-11-22,,6,,,,,6,0,,,,,,,
Social Gathering- Durango,2021-12-13,Social Gathering,,La Plata,2021-11-22,,,7,,,,7,0,,,,,,,
Social Gathering- Silverthorne: November 2021 ,2021-12-06,Social Gathering,,Summit,2021-11-22,,,7,,,,7,0,,,,,,,
Sunshine Gardens West Assisted Living (2312W2): November 2021,2021-12-23,Healthcare - Assisted Living,,La Plata,2021-11-22,1,2,,,,,3,0,,,,,,,
Tenderfoot Child and Family Development Center,2022-03-01,Child Care Center,,Gunnison,2021-11-22,,2,24,,,,26,0,,,,,,,
Alside Supply Center,2021-12-22,Materials Supplier,,Adams,2021-11-23,,6,,,,,6,0,,,,,,,
Antelope Ridge Elementary School,2021-12-12,School K-12,,Arapahoe,2021-11-23,,,5,,,,5,0,,,,,,,
Ardent Health and Rehabilitation Center (020410): November 2021,2021-12-06,Healthcare - Nursing Facility,,Adams,2021-11-23,1,2,,,,,3,0,,,,,,,
Atria Longmont (23L190): October 2021,2021-10-30,Healthcare - Assisted Living,,Boulder,2021-11-23,3,1,,,,,4,0,,,,,,,
Casey's Pond Senior Living LTC (020803): November 2021,2021-12-08,Healthcare - Nursing Facility,,Routt,2021-11-23,1,2,,,,,3,0,,,,,,,
City Market #406,2021-12-30,Grocery Store,,La Plata,2021-11-23,,12,,,,,12,0,,,,,,,
Columbia Elementary School: October 2021,2021-11-23,School K-12,,El Paso,2021-11-23,,,10,,,,10,0,,,,,,,
Compass Montessori - Wheat Ridge: November 2021,2022-03-11,School K-12,,Jefferson,2021-11-23,,2,21,,,,23,0,,,,,,,
Denver Chophouse and Brewery,2021-12-16,Restaurant - Sit Down,,Denver,2021-11-23,,8,,,,,8,0,,,,,,,
Divine Redeemer Catholic School ,2021-12-16,School K-12,,El Paso,2021-11-23,,3,6,,,,9,0,,,,,,,
"Elementum 3D, Inc. ",2021-12-08,Non-Food Manufacturer/Warehouse,,Weld,2021-11-23,,12,,,,,12,0,,,,,,,
First Watch - Northglenn,2021-12-20,Restaurant - Sit Down,,Adams,2021-11-23,,7,,,,,7,0,,,,,,,
Good Samaritan Society- Loveland Village Assisted Living (230373): November 2021,2021-12-20,Healthcare - Assisted Living,,Larimer,2021-11-23,1,1,,,,,2,0,,,,,,,
Home Daycare - Littleton,2021-12-14,Child Care Center,Home daycare,Jefferson,2021-11-23,,1,5,,,,6,0,,,,,,,
Joni Fair Hospice House at Sangre de Cristo Community Care,2021-12-20,Healthcare - Hospice,,Pueblo,2021-11-23,1,4,,1,,,5,1,,,,,,,
Kaiser Permanente Franklin Medical Offices: October 2021,2021-12-17,Healthcare - Outpatient,,Denver,2021-11-23,,8,,,,,8,0,,,,,,,
Keystone Place at Legacy Ridge Assisted Living (23H523): November 2021,2022-02-14,Healthcare - Assisted Living,,Adams,2021-11-23,21,36,,1,,,57,1,,,,,,,
"Radial, Inc.: November 2021",2022-02-24,Office/Indoor Workspace,Call Center,Pueblo,2021-11-23,,24,,,1,,24,1,,,,,,,
Saints Peter and Paul Catholic School: November 2021,2021-12-31,School K-12,,Jefferson,2021-11-23,,2,19,,,,21,0,,,,,,,
Springfield Elementary School,2021-12-06,School K-12,,Baca,2021-11-23,,,14,,,,14,0,,,,,,,
Swink Junior-Senior High School: November 2021,2021-12-13,School K-12,,Otero,2021-11-23,,,20,,,,20,0,,,,,,,
The Goddard School of Broomfield,2021-12-14,Child Care Center,,Broomfield,2021-11-23,,5,12,,,,17,0,,,,,,,
The Home Depot #1542,2021-12-16,Retailer,,Fremont,2021-11-23,,10,,,,,10,0,,,,,,,
The Sunshine House of Loveland at Centerra: November 2021,2021-12-27,Child Care Center,,Larimer,2021-11-23,,2,10,,,,12,0,,,,,,,
Valley Market ,2021-12-14,Grocery Store,,Pueblo,2021-11-23,,5,,,,,5,0,,,,,,,
Victory Montessori Child Care,2021-12-16,Child Care Center,,Jefferson,2021-11-23,,4,2,,,,6,0,,,,,,,
Alameda International Jr/Sr High: November 2021,2022-03-17,School K-12,,Jefferson,2021-11-24,,22,59,,,,81,0,,,,,,,
Amazon DDE8,2022-03-26,Distribution Center/Business,,Larimer,2021-11-24,,28,,,,,28,0,,,,,,,
Aspen Miracle Center: November 2021,2021-12-24,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Adams,2021-11-24,5,4,,,,,9,0,,,,,,,
Aspen Ridge Alzheimer's Special Care Center (23W376): November 2021,2022-03-10,Healthcare - Assisted Living,,Mesa,2021-11-24,9,24,,,,,33,0,,,,,,,
Assisted Living of Aurora (23D453): November 2021,2021-12-03,Healthcare - Assisted Living,,Arapahoe,2021-11-24,6,2,,,,,8,0,,,,,,,
Balfour at Central Park (23H949): November 2021,2021-12-21,Healthcare - Assisted Living,,Denver,2021-11-24,,6,,,,,6,0,,,,,,,
Dennison Elementary School,2022-04-04,School K-12,,Jefferson,2021-11-24,,10,54,,,,64,0,,,,,,,
Home Daycare - Breckenridge,2021-12-16,Child Care Center,Home daycare,Summit,2021-11-24,,2,4,,,,6,0,,,,,,,
Huerfano County Sheriff's Office: November 2021,2021-12-22,Law Enforcement - Other,,Huerfano,2021-11-24,,9,,,,,9,0,,,,,,,
Medallion Post Acute Rehabilitation (020582): November 2021,2021-12-03,Healthcare - Nursing Facility,,El Paso,2021-11-24,2,1,,,,,3,0,,,,,,,
Porter Place (2304E7): November 2021,2021-12-02,Healthcare - Assisted Living,,Denver,2021-11-24,,2,,,,,2,0,,,,,,,
Sprouts Farmers Market - E Lincoln Ave #330,2021-12-17,Grocery Store,,Larimer,2021-11-24,,7,,,,,7,0,,,,,,,
The Gardens (020533): November 2021,2022-02-22,Healthcare - Nursing Facility,,El Paso,2021-11-24,22,26,,1,,,48,1,,,,,,,
Western Paper Distributors,2022-03-11,Distribution Center/Business,,Denver,2021-11-24,,9,,,,,9,0,,,,,,,
Windish RV - Longmont,2021-12-14,Other,Auto Dealership,Weld,2021-11-24,,7,,,,,7,0,,,,,,,
Villa Manor Care Center (020451): November 2021,2021-12-20,Healthcare - Nursing Facility,,Jefferson,2021-11-25,2,3,,,,,5,0,,,,,,,
South Valley Post Acute Rehabilitation (020416): November 2021,2022-02-21,Healthcare - Nursing Facility,,Denver,2021-11-26,37,48,,,,,85,0,,,,,,,
Stonecreek of Flying Horse (23P651): November 2021,2021-12-07,Healthcare - Assisted Living,,El Paso,2021-11-26,4,1,,,,,5,0,,,,,,,
Bethany Nursing and Rehab Center (020420): November 2021,2022-03-08,Healthcare - Nursing Facility,,Jefferson,2021-11-29,41,50,,,,,91,0,,,,,,,
Briar Rose Chophouse and Saloon: November 2021,2021-12-12,Restaurant - Sit Down,,Summit,2021-11-29,,5,,,,,5,0,,,,,,,
Broadview Health and Rehabilitation Center LLC (020321): November 2021,2022-02-26,Healthcare - Nursing Facility,,Weld,2021-11-29,5,13,,,,,18,0,,,,,,,
Broomfield Skilled Nursing & Rehab Center (02R989): November 2021,2022-04-11,Healthcare - Nursing Facility,,Broomfield,2021-11-29,60,59,,3,,,119,3,,,,,,,
Brush Creek Elementary School: November 2021,2021-12-10,School K-12,,Eagle,2021-11-29,,2,10,,,,12,0,,,,,,,
Buena Vista Middle School,2021-12-14,School K-12,,Chaffee,2021-11-29,,1,9,,,,10,0,,,,,,,
Colorado Mesa University - Men's Lacrosse Team,2021-12-01,College/University,,Mesa,2021-11-29,,,5,,,,5,0,,,,,,,
Denver Women's Correctional Facility: November 2021,2022-03-30,State Prison,,Colorado,2021-11-29,361,121,,,,,482,0,,,,,,,
Eaton Senior Communities: November 2021,2022-03-19,Healthcare - Independent Living Facility,,Jefferson,2021-11-29,18,6,,,,,24,0,,,,,,,
Fremont Correctional Facility: November 2021,2022-04-07,State Prison,,Colorado,2021-11-29,1044,143,,,,,1187,0,,,,,,,
IMA Corp.,2021-12-18,Office/Indoor Workspace,,Denver,2021-11-29,,7,,,,,7,0,,,,,,,
"Monte Vista Estates, LLC (021023): November 2021",2022-01-06,Healthcare - Nursing Facility,,Rio Grande,2021-11-29,26,11,,4,,,37,4,,,,,,,
Parker Senior Living by MorningStar (23X291): November 2021,2022-03-18,Healthcare - Assisted Living,,Douglas,2021-11-29,23,37,,1,,,60,1,,,,,,,
Rising Star Early Learning Center: November 2021,2022-01-03,Child Care Center,,Arapahoe,2021-11-29,,3,5,,,,8,0,,,,,,,
Roncalli STEM Academy: November 2021,2022-01-03,School K-12,,Pueblo,2021-11-29,,2,3,,,,5,0,,,,,,,
The Academy of Charter Schools: November 2021,2021-12-26,School K-12,,Adams,2021-11-29,,,7,,,,7,0,,,,,,,
The Denver Waldorf School: November 2021,2022-03-09,School K-12,,Denver,2021-11-29,,20,69,,,,89,0,,,,,,,
The Joshua School: November 2021,2022-01-28,School K-12,,Arapahoe,2021-11-29,,4,1,,,,5,0,,,,,,,
VCA Alameda East Veterinary Hospital: November 2021,2021-12-16,Other,Veterinary Clinic,Denver,2021-11-29,,6,,,,,6,0,,,,,,,
Applewood Place (23D467): November 2021,2021-12-13,Healthcare - Assisted Living,,Jefferson,2021-11-30,,3,,,,,3,0,,,,,,,
Eagle Valley Elementary School,2021-12-04,School K-12,,Eagle,2021-11-30,,1,7,,,,8,0,,,,,,,
Equipment Share,2021-12-25,Construction Company/Contractor,,Arapahoe,2021-11-30,,6,,,1,,6,1,,,,,,,
Family Tree GOALS,2021-12-26,Homeless Shelter,,Arapahoe,2021-11-30,11,1,,,,,12,0,,,,,,,
Forest Ridge (02D453): November 2021,2022-03-14,Healthcare - Nursing Facility,,Teller,2021-11-30,9,33,,,,,42,0,,,,,,,
Garfield RE-2 Transportation Dept,2022-01-04,School Administration,Bus depot,Garfield,2021-11-30,,7,,,,,7,0,,,,,,,
Golden Pond LLC (23P550): December 2021 #1,2021-12-17,Healthcare - Assisted Living,,Jefferson,2021-11-30,1,1,,,,,2,0,,,,,,,
Kinnick Center RTF (2303FH): December 2021,2021-12-15,Healthcare - Assisted Living,,Weld,2021-11-30,3,,,,,,3,0,,,,,,,
Life Care Center of Pueblo (020641): November 2021,2021-12-07,Healthcare - Nursing Facility,,Pueblo,2021-11-30,1,1,,,,,2,0,,,,,,,
Martinez Elementary School: November 2021,2022-01-03,School K-12,,El Paso,2021-11-30,,7,16,,,,23,0,,,,,,,
Maximum Comfort Pool & Spa,2021-12-14,Retailer,,Eagle,2021-11-30,,5,,,,,5,0,,,,,,,
Mountain Vista Community School,2021-11-22,School K-12,,El Paso,2021-11-30,,,5,,,,5,0,,,,,,,
Oak Street Facility (05F761),2021-12-29,Healthcare - RCFDD Group home,,Prowers,2021-11-30,,2,,,,,2,0,,,,,,,
Pilatus Business Aircraft Ltd: November 2021,2022-03-13,Non-Food Manufacturer/Warehouse,,Jefferson,2021-11-30,,31,,,,,31,0,,,,,,,
Ravencrest Chalet Bible School: November 2021,2021-12-27,College/University,,Larimer,2021-11-30,,,21,,,,21,0,,,,,,,
Riverdale Elementary School,2021-12-24,School K-12,,Adams,2021-11-30,,,5,,,,5,0,,,,,,,
Steamboat Springs High School: November 2021,2021-12-18,School K-12,,Routt,2021-11-30,,1,11,,,,12,0,,,,,,,
The Legacy at Sterling (23P250): November 2021,2021-12-15,Healthcare - Assisted Living,,Logan,2021-11-30,,2,,,,,2,0,,,,,,,
The Valley Inn (02123H): November 2021,2021-12-22,Healthcare - Nursing Facility,,Montezuma,2021-11-30,,5,,,,,5,0,,,,,,,
Trader Joe's #302: November 2021,2022-02-16,Grocery Store,,Denver,2021-11-30,,22,,,,,22,0,,,,,,,
Advantage Treatment Center- Sterling: November 2021,2022-01-03,"Correctional, Other",Community correctional facility; drug/alcohol rehab,Logan,2021-12-01,38,9,,,,,47,0,,,,,,,
Balfour Retirement Community (02033Y): November 2021,2021-12-03,Healthcare - Nursing Facility,,Boulder,2021-12-01,2,1,,,,,3,0,,,,,,,
