,Importance (%)
Waived_work_search_requirement_for_unemployment_insurance,0.0006987594995827627
Second_overall_eviction_moratorium_start,0.0006669879049780695
Closed_gyms_.x2.,0.00037446015327902523
Reopened_bars_.x3.,0.00037345792996419235
Report_COVID.19_deaths_by_race.ethnicity,0.00037345792996419235
Waived_COVID.respiratory_illness.related_copays_during_pandemic_for_incarcerated_individuals,0.0003669868422984164
Vaccine_allocation_phase._Home_Healthcare_Workers,0.0003669868422984164
Vaccine_allocation_phase._Additional_Healthcare_Workers,0.0003669868422984164
Patients_can_receive_14.28_take.home_doses_of_opioid_medication,0.0003669868422984164
State_previously_allowed_audio.only_telehealth,0.0003669868422984164
F_LIMENG,0.0003669868422984164
F_SNGPNT,0.0003620856131316404
onVentilatorCumulative,0.0003620856131316404
MP_AGE17,0.0003620856131316404
negativeTestsAntibody,0.0003620856131316404
Report_Indigenous_COVID.19_hospitalizations,0.0003620856131316404
E_GROUPQ,0.0003620856131316404
totalTestsPeopleAntibody,0.0003620856131316404
EP_CROWD,0.0003620856131316404
Waived_all_copays_during_pandemic_for_incarcerated_individuals,0.0003620856131316404
Reopened_casinos_.x2.,0.0003584443515144297
Variant...B.1.526.1,0.0003584443515144297
Paid_sick_leave_expansion_during_pandemic,0.0003584443515144297
Closed_bars_.x3.,0.0003584443515144297
Suspended_elective_medical_procedures_x2,0.0003553884790952627
Ended_face_mask_mandate_x2,0.00034231856165347697
Second_Eviction_Hearing_Ban_Start,0.00034231856165347697
Expanded_eligibility_of_unemployment_insurance_to_anyone_who_is_quarantined_and.or_taking_care_of_someone_who_is_quarantined,0.00034231856165347697
Firearm_sellers_remained_open,0.00034231856165347697
Allowed_businesses_to_reopen_overnight,0.00034231856165347697
Variant...BN.1,0.0003402903811252285
COVID.19_workers._compensation_expansion,0.0003402903811252285
Report_COVID.19_vaccinations_by_race.ethnicity,0.0003402903811252285
F_THEME1,0.0003402903811252285
Permanent_mail.in_ballot_system,0.00033667388645112237
RPL_THEME4,0.00033667388645112237
Proof_of_work_eligibility_requirement_for_vaccination,0.00033667388645112237
Third_overall_eviction_moratorium_end,0.0003303140185269472
F_POV,0.0
SPL_THEME4,0.0
F_UNEMP,0.0
Variant...CH.1.1,0.0
Variant...FD.2,0.0
Variant...B.1.617,0.0
Variant...XBB,0.0
MP_MINRTY,0.0
Variant...XBB.1.9.1,0.0
Variant...XBB.1.16,0.0
Variant...XBB.1.5,0.0
F_PCI,0.0
Variant...XBB.1.9.2,0.0
Variant...BF.11,0.0
Variant...B.1.617.3,0.0
Variant...XBB.1.5.1,0.0
Variant...B.1.526.2,0.0
Report_Indigenous_COVID.19_vaccinations,0.0
Reopened_restaurants_.x3.,0.0
Variant...B.1.1,0.0
Second_COVID.19_hardship_limitation_end,0.0
Use_of_telemedicine.telephone_evaluations_to_initiate_buprenorphine_prescribing,0.0
Second_overall_eviction_moratorium_end,0.0
Third_overall_eviction_moratorium_start,0.0
Paid_sick_leave_prior_to_pandemic,0.0
Aerosol_transmissable_diseases_standards,0.0
Second_Eviction_Initiation_Ban_End,0.0
Second_Eviction_Enforcement_Ban_Start,0.0
Require_earnings_in_the_last_two_calendar_quarters_of_the_base_period_in_order_to_qualify_for_UI,0.0
Second_Eviction_Enforcement_Ban_End,0.0
Number_of_calendar_quarters_with_earnings_in_the_base_period_needed_to_qualify_for_UI,0.0
X20.week_Extended_Benefits_program_activated_x2,0.0
Proof_of_age_eligibility_requirement_for_vaccination,0.0
Second_non.payment_limitation_start,0.0
Second_non.payment_limitation_end,0.0
Second_Late_Fee_Ban_Start,0.0
Extended_Benefits_program_activated_x2,0.0
Second_Late_Fee_Ban_End,0.0
Second_utilities_shutoff_moratorium_start,0.0
SNAP_Waiver_._Pandemic_EBT_during_summer_2021,0.0
Resumed_elective_medical_procedures_x2,0.0
Did_not_waive_copays_for_incarcerated_individuals,0.0
Does_not_charge_copays_for_incarcerated_individuals,0.0
Waive_requirement_to_obtain_separate_DEA_registration_to_dispense_outside_home_state,0.0
Vaccine_allocation_phase._Adults_Ages_65.,0.0
F_AGE65,0.0
positiveTestsPeopleAntigen,0.0
F_AGE17,0.0
F_THEME2,0.0
F_MINRTY,0.0
F_MUNIT,0.0
F_MOBILE,0.0
F_CROWD,0.0
totalTestsPeopleAntigen,0.0
F_NOVEH,0.0
F_THEME4,0.0
Face_mask_mandate_x2,0.0
positiveTestsPeopleAntibody,0.0
Vaccine_allocation_phase._Adults_Ages_75.,0.0
Face_mask_mandate_enforced_by_criminal_charge.citation,0.0
Banned_local_mask_mandates,0.0
Liquor_stores_remained_open,0.0
Closed_hair_salons.barber_shops_.x2.,0.0
Reopened_hair_salons.barber_shops_.x2.,0.0
Closed_restaurants_.x3.,0.0
Vaccine_allocation_phase._Frontline_Healthcare_Workers,0.0
Vaccine_allocation_phase._Healthcare_Service_Workers,0.0
Vaccine_allocation_phase._Long.term_Care_Residents,0.0
Vaccine_allocation_phase._EMS_Providers,0.0
Variant...XBB.2.3,0.0
