"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
18119,"Owen","Indiana",-0.12886435848475,3.00711126375387,0,3.90916177314711,"2021-03-09",413,3.46573590279973,-0.0999172978590221,3.2386877487597,3.20974068813396,-0.001333299669254,0,-0.00650474633471261,-1,0,-1
18119,"Owen","Indiana",-0.108868731662265,3.03821191984899,0,3.80029304148484,"2021-03-10",414,3.50512830451039,-0.0922563963432333,3.17111060240124,3.15449826708221,0.019995626822485,0,0.00766090151578881,1,0,1
18119,"Owen","Indiana",-0.114991408718775,2.88036177173463,0,3.68530163276605,"2021-03-11",415,3.53888678443534,-0.0957315766264679,3.0344404284731,3.01518059638077,-0.00612267705651,0,-0.00347518028323461,-1,0,-1
18119,"Owen","Indiana",-0.12995357127665,2.64567306255286,0,3.55534806148941,"2021-03-12",416,3.59926729542425,-0.106870356510702,2.83033878068043,2.8072555659145,-0.014962162557875,0,-0.0111387798842341,-1,0,-1
18119,"Owen","Indiana",-0.125979802860539,2.54750963860508,0,3.42936825862885,"2021-03-13",417,3.65989191724069,-0.103595423586035,2.72658467280113,2.70420029352661,0.003973768416111,0,0.00327493292466699,1,0,1
18119,"Owen","Indiana",-0.0139862419747424,3.31747832283091,0,3.41538201665411,"2021-03-14",418,3.71008166176454,-0.0220243560735496,3.25317341004045,3.26121152413926,0.111993560885797,0,0.0815710675124854,1,0,1
18119,"Owen","Indiana",0.0186051878310344,3.56422351930239,0.0186051878310356,3.5642235193024,"2021-03-15",419,3.75453342433537,0.0160870892356989,3.5440787305397,3.54659682913504,0.0325914298057768,0.0186051878310356,0.0381114453092485,1,1,1
18119,"Owen","Indiana",0.0317486983145842,3.68797679100182,0.0317486983145803,3.68797679100179,"2021-03-16",420,3.79388276312392,0.0231471748881562,3.6191646035904,3.62776612701682,0.0131435104835498,0.0131435104835447,0.0070600856524573,1,1,1
18119,"Owen","Indiana",0.0393924017106587,3.780875116485,0.0393924017106611,3.78087511648501,"2021-03-17",421,3.8255309740747,0.0249823896570097,3.66559502005581,3.68000503210946,0.0076437033960745,0.0076437033960808,0.0018352147688535,1,1,1
18119,"Owen","Indiana",0.0337584799249552,3.77519614391003,0.0337584799249533,3.77519614391001,"2021-03-18",422,3.85014760171006,0.0232767355960263,3.6913421892786,3.70182393360752,-0.0056339217857035,-0.0056339217857078,-0.0017056540609834,-1,-1,-1
18119,"Owen","Indiana",0.0603805109889043,4.02193087234658,0.0603805109889088,4.02193087234661,"2021-03-19",423,3.85922481986117,0.038911377849052,3.85017780722776,3.87164694036761,0.0266220310639491,0.0266220310639555,0.0156346422530257,1,1,1
18119,"Owen","Indiana",0.0606246218164388,4.08426426995576,0.0606246218164355,4.08426426995573,"2021-03-20",424,3.87120101090789,0.0426288986608117,3.94029848471074,3.95829420786637,0.000244110827534505,0.000244110827526699,0.0037175208117597,1,1,1
18119,"Owen","Indiana",0.0501897445238512,4.0614098734315,0.0501897445238551,4.06140987343153,"2021-03-21",425,3.88008995832514,0.0396725589195487,3.97727238859708,3.98778957420138,-0.0104348772925876,-0.0104348772925804,-0.002956339741263,-1,-1,-1
18119,"Owen","Indiana",0.0444517625708358,4.06569576233122,0.0444517625708327,4.0656957623312,"2021-03-22",426,3.88303546855489,0.0346735213041812,3.98746983219799,3.99724807346464,-0.0057379819530154,-0.0057379819530224,-0.0049990376153675,-1,-1,-1
18119,"Owen","Indiana",0.0393493387885412,4.06932813464371,0.0393493387885471,4.06932813464375,"2021-03-23",427,3.89473150831808,0.0316321666031619,4.00759075716067,4.01530792934605,-0.0051024237822946,-0.0051024237822856,-0.0030413547010193,-1,-1,-1
18119,"Owen","Indiana",0.0316482109507826,4.04706845073018,0.0316482109507832,4.04706845073019,"2021-03-24",428,3.89182029811063,0.0269371202386613,4.00937972503321,4.01409081574533,-0.0077011278377586,-0.0077011278377639,-0.0046950463645006,-1,-1,-1
18119,"Owen","Indiana",0.0246166276353532,4.02246399515753,0.0246166276353552,4.02246399515754,"2021-03-25",429,3.88008995832514,0.0225964020337038,4.00630219034433,4.00832241594599,-0.0070315833154294,-0.007031583315428,-0.0043407182049575,-1,-1,-1
18119,"Owen","Indiana",0.00907721815111604,3.92276534691899,0.00907721815111628,3.92276534691899,"2021-03-26",430,3.87417278129705,0.010216821411236,3.93188217299995,3.93074256973982,-0.0155394094842372,-0.0155394094842389,-0.0123795806224678,-1,-1,-1
18119,"Owen","Indiana",0.0119761910467164,3.95503434823491,0.0119761910467164,3.95503434823491,"2021-03-27",431,3.86223234092513,0.0119087258517495,3.95449462667517,3.95456209187014,0.00289897289560036,0.00289897289560012,0.0016919044405135,1,1,1
18119,"Owen","Indiana",0.00888894741724471,3.94231259024585,0.00888894741724533,3.94231259024585,"2021-03-28",432,3.84405002184194,0.00902064284795245,3.94336615369151,3.94323445826081,-0.00308724362947169,-0.00308724362947107,-0.00288808300379705,-1,-1,-1
18119,"Owen","Indiana",0.00294551022975869,3.90365404016321,0.00294551022975797,3.9036540401632,"2021-03-29",433,3.81299162482197,0.00763905934817477,3.94120243311054,3.93650888399211,-0.00594343718748602,-0.00594343718748736,-0.00138158349977768,-1,-1,-1
18119,"Owen","Indiana",0.01169603976319,3.97660378666041,0.0116960397631898,3.97660378666041,"2021-03-30",434,3.77111755235091,0.0114662745698038,3.97476566511332,3.97499543030671,0.00875052953343131,0.00875052953343183,0.00382721522162903,1,1,1
18119,"Owen","Indiana",-0.00291121020745704,3.87144182665843,0,3.89182029811063,"2021-03-31",435,3.73426245996176,-0.00824218829246293,3.82879400197838,3.83412498006339,-0.014607249970647,-0.0116960397631898,-0.0197084628622667,-1,-1,-1
18119,"Owen","Indiana",-0.0117303397854895,3.79797757982671,0,3.88008995832514,"2021-04-01",436,3.68530163276605,-0.0138405419930208,3.78109596216646,3.78320616437399,-0.00881912957803246,0,-0.00559835370055787,-1,0,-1
18119,"Owen","Indiana",-0.00591717702809032,3.83275254210042,0,3.87417278129705,"2021-04-02",437,3.62243435470578,-0.00792278309149418,3.81670769359319,3.81871329965659,0.00581316275739918,0,0.00591775890152662,1,0,1
18119,"Owen","Indiana",-0.0119404403719169,3.77864925832171,0,3.86223234092513,"2021-04-03",438,3.55534806148941,-0.0128076612910332,3.77171149096878,3.7725787118879,-0.00602326334382658,0,-0.00488487819953902,-1,0,-1
18119,"Owen","Indiana",-0.0181823190831946,3.71677378825958,0,3.84405002184194,"2021-04-04",439,3.48781185449893,-0.0181654173962617,3.71690900175504,3.71689210006811,-0.0062418787112777,0,-0.0053577561052285,-1,0,-1
